sample,success_ratio,trans_rate,switch_ratio,power
1,93.91,12.13,0.29,42.47
1,92.73,11.93,0.33,42.38
1,92.61,11.85,0.35,42.41
1,91.66,11.69,0.37,42.42
1,91.36,11.6,0.39,42.54
1,89.68,11.3,0.43,42.44
1,88.29,11.1,0.44,42.56
1,85.75,10.63,0.47,42.59
1,83.48,10.21,0.52,42.53
1,80.78,9.75,0.54,42.46
