sample,success_ratio,trans_rate,switch_ratio,power
1,94.72,12.22,0.3,42.37
1,94.2,12.15,0.33,42.33
1,92.02,11.81,0.34,42.35
1,90.49,11.51,0.39,42.29
1,90.04,11.38,0.43,42.45
1,85.62,10.78,0.46,42.35
1,80.85,10.02,0.47,42.46
1,77.78,9.52,0.53,42.53
1,73.18,8.77,0.58,42.36
1,68.01,8.05,0.62,42.41
