Wall time,Step,Value,Smoothed_Value_Same
1735119293.6367755,2000,40.16378021240234,20.548856671651208
1735119306.5969477,4000,40.45455932617188,20.685395545959473
1735119322.4185245,6000,41.55961608886719,20.821373303731285
1735119342.6407871,8000,41.539207458496094,20.95763916015625
1735119368.7705178,10000,42.01647186279297,21.093494567871097
1735119416.8041625,12000,40.64923477172852,21.22761876424154
1735119456.2079723,14000,41.14239501953125,21.363117472330728
1735119485.093095,16000,41.052494049072266,21.498147633870445
1735119514.3772278,18000,41.11638259887695,21.634339256286623
1735119543.7630646,20000,41.62522888183594,21.76906317392985
1735119572.7234485,22000,41.3217658996582,21.905538647969564
1735119601.349455,24000,41.0255126953125,22.040044288635254
1735119630.7495425,26000,40.79742431640625,22.176028429667156
1735119660.8863685,28000,40.93442916870117,22.310485763549806
1735119691.513929,30000,40.84578323364258,22.446479187011718
1735119719.822533,32000,41.02497863769531,22.582530670166015
1735119748.1085,34000,41.13249969482422,22.71761081695557
1735119776.5123303,36000,40.85406494140625,22.85467061360677
1735119804.7436647,38000,41.16413497924805,22.988986218770346
1735119832.5455267,40000,40.97604370117188,23.123545684814452
1735119860.8476372,42000,41.24451446533203,23.26053062438965
1735119889.0565977,44000,41.353633880615234,23.39536818186442
1735119917.1124864,46000,41.26224136352539,23.531291478474934
1735119945.2626529,48000,41.22565078735352,23.665324516296387
1735119973.7031238,50000,41.6759147644043,23.80052313486735
1735120002.1994069,52000,41.26080703735352,23.93642667134603
1735120030.32565,54000,41.03602981567383,24.073423830668133
1735120058.212952,56000,41.12439727783203,24.208397839864098
1735120086.155416,58000,41.13368225097656,24.343987706502283
1735120114.3750775,60000,41.20743560791016,24.479827334086103
1735120142.72125,62000,41.24376678466797,24.616210009257003
1735120170.9442508,64000,40.92927932739258,24.75072937011719
1735120198.9130344,66000,41.00027847290039,24.887403437296552
1735120227.2520025,68000,40.79468536376953,25.023155784606935
1735120255.8216946,70000,41.55061340332031,25.157881037394205
1735120283.9648232,72000,41.2476806640625,25.293303960164387
1735120312.1206644,74000,40.8956413269043,25.428666915893558
