sample,success_ratio,trans_rate,switch_ratio,power
1,95.17,12.21,0.52,40.16
1,94.69,11.99,0.52,40.07
1,93.06,11.76,0.55,40.06
1,91.15,11.4,0.55,40.2
1,84.9,10.04,0.61,40.28
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,94.65,11.94,0.52,40.43
2,93.0,11.52,0.55,40.43
2,91.88,11.36,0.54,40.49
2,88.56,10.59,0.6,40.6
2,82.44,9.39,0.64,40.75
2,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,89.46,11.37,0.44,42.25
3,87.52,10.85,0.47,42.23
3,84.25,10.3,0.51,42.16
3,79.09,9.33,0.56,42.06
3,75.08,8.73,0.59,42.05
3,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,79.4,9.29,0.58,40.94
4,74.86,8.56,0.6,40.96
4,73.22,7.91,0.68,40.8
4,68.79,7.3,0.67,41.03
4,66.15,6.64,0.72,41.01
4,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,62.64,7.31,0.99,44.0
5,59.09,6.91,0.99,44.0
5,58.32,6.82,0.99,44.0
5,56.53,6.61,0.98,44.0
5,54.31,6.34,0.99,44.0
5,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,61.37,7.17,0.63,44.0
6,61.66,7.2,0.63,44.0
6,62.64,7.31,0.63,44.0
6,59.71,6.96,0.64,44.0
6,63.77,7.44,0.63,44.0
6,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
